orderId,orderTimestamp,customerId,amountSpent
262,2009-01-11T00:00:00Z,47,50.67
278,2009-01-20T00:00:00Z,47,26.6
294,2009-02-03T00:00:00Z,47,38.71
301,2009-02-06T00:00:00Z,47,53.38
302,2009-02-06T00:00:00Z,47,14.28
321,2009-02-17T00:00:00Z,47,29.5
333,2009-02-23T00:00:00Z,47,18.91
341,2009-03-01T00:00:00Z,47,64.41
353,2009-03-09T00:00:00Z,47,18.03
373,2009-03-17T00:00:00Z,47,25.55
376,2009-03-17T00:00:00Z,47,13.64
386,2009-03-24T00:00:00Z,47,47.83
398,2009-03-31T00:00:00Z,47,42.14
431,2009-04-14T00:00:00Z,47,21.73
441,2009-04-16T00:00:00Z,47,21.73
467,2009-04-23T00:00:00Z,47,17.97
493,2009-04-28T00:00:00Z,47,28.85
494,2009-04-28T00:00:00Z,47,7.15
517,2009-05-01T00:00:00Z,47,57.75
525,2009-05-04T00:00:00Z,47,40.98
567,2009-05-12T00:00:00Z,47,14.93
575,2009-05-14T00:00:00Z,47,14.32
598,2009-05-19T00:00:00Z,47,40.76
635,2009-05-26T00:00:00Z,47,83.41
664,2009-06-01T00:00:00Z,47,47.39
688,2009-06-05T00:00:00Z,47,16.76
720,2009-06-12T00:00:00Z,47,26.71
732,2009-06-16T00:00:00Z,47,18.66
775,2009-06-23T00:00:00Z,47,46.65
828,2009-07-02T00:00:00Z,47,20.27
838,2009-07-06T00:00:00Z,47,44.88
848,2009-07-08T00:00:00Z,47,17.61
878,2009-07-13T00:00:00Z,47,23.15
916,2009-07-19T00:00:00Z,47,71.09
947,2009-07-24T00:00:00Z,47,50.66
978,2009-07-30T00:00:00Z,47,69.11
979,2009-07-30T00:00:00Z,47,41
1033,2009-08-10T00:00:00Z,47,51.42
1034,2009-08-10T00:00:00Z,47,14.76
1037,2009-08-10T00:00:00Z,47,15.64
1075,2009-08-18T00:00:00Z,47,12.9555
1111,2009-08-25T00:00:00Z,47,50.29
1112,2009-08-25T00:00:00Z,47,4.09
1119,2009-08-25T00:00:00Z,47,3.08
1152,2009-08-28T00:00:00Z,47,66.25
1154,2009-08-28T00:00:00Z,47,7.56
1168,2009-09-02T00:00:00Z,47,70.1302
1179,2009-09-03T00:00:00Z,47,12.27
1197,2009-09-07T00:00:00Z,47,106.89
1262,2009-09-17T00:00:00Z,47,92.51
1279,2009-09-21T00:00:00Z,47,40.125
1333,2009-09-29T00:00:00Z,47,61.74
1363,2009-10-05T00:00:00Z,47,51.78
1400,2009-10-11T00:00:00Z,47,3.74
1466,2009-10-20T00:00:00Z,47,40.11
1525,2009-10-26T00:00:00Z,47,45.4838
1614,2009-11-05T00:00:00Z,47,41.78
1740,2009-11-12T00:00:00Z,47,23.1
1803,2009-11-17T00:00:00Z,47,48.25
1813,2009-11-18T00:00:00Z,47,5
1888,2009-11-29T00:00:00Z,47,60.14
1950,2009-12-06T00:00:00Z,47,70.72
2049,2009-12-14T00:00:00Z,47,172.534
2191,2010-01-03T00:00:00Z,47,62.3497
2204,2010-01-04T00:00:00Z,47,18.39
2451,2010-01-24T00:00:00Z,47,52.0292
2579,2010-01-31T00:00:00Z,47,47.6325
2580,2010-01-31T00:00:00Z,47,23.629
2593,2010-02-01T00:00:00Z,47,6.638
2873,2010-02-16T00:00:00Z,47,79.9095
2953,2010-02-22T00:00:00Z,47,51.15
2997,2010-02-23T00:00:00Z,47,27.97
3037,2010-02-25T00:00:00Z,47,15.5025
3082,2010-03-01T00:00:00Z,47,48.152
3109,2010-03-02T00:00:00Z,47,34.13
